"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
100 1 0.022247 0.000234 0.001573 0.020238 0.000202 1
200 1 0.02323 0.000256 0.002182 0.020132 0.00066 1
300 1 0.031963 0.000268 0.003167 0.027148 0.00138 1
400 1 0.030669 0.000256 0.005671 0.022382 0.00236 1
500 1 0.033074 0.00026 0.006704 0.02157 0.00454 1
600 1 0.035631 0.000256 0.007707 0.021617 0.006051 1
700 1 0.041104 0.000265 0.008769 0.022962 0.009108 1
800 1 0.039031 0.000251 0.009674 0.020019 0.009087 1
900 1 0.047882 0.000262 0.01082 0.025538 0.011262 1
1000 1 0.048495 0.000265 0.014403 0.019916 0.013911 1
1100 1 0.055991 0.00026 0.012764 0.025542 0.017425 1
1200 1 0.059365 0.000257 0.019252 0.020005 0.019851 1
1300 1 0.06415 0.000268 0.020634 0.019934 0.023314 1
1400 1 0.066077 0.00026 0.018711 0.02001 0.027096 1
1500 1 0.070024 0.000257 0.018477 0.019999 0.031291 1
1600 1 0.075239 0.000253 0.019485 0.019992 0.035509 1
1700 1 0.081509 0.00026 0.020581 0.020627 0.040041 1
1800 1 0.086156 0.00026 0.021764 0.019178 0.044954 1
1900 1 0.09131 0.000383 0.02136 0.01899 0.050577 1
2000 1 0.095614 0.00036 0.021014 0.018981 0.055259 1
2100 1 0.103467 0.000354 0.022266 0.018983 0.061864 1
2200 1 0.110195 0.000333 0.023252 0.019044 0.067566 1
2300 1 0.118135 0.000356 0.024122 0.019005 0.074652 1
2400 1 0.125487 0.000356 0.025327 0.019015 0.080789 16
2500 1 0.134111 0.000346 0.026203 0.019516 0.088046 16
2600 1 0.143357 0.000358 0.027407 0.019006 0.096586 16
2700 1 0.153538 0.000339 0.028493 0.019177 0.105529 16
2800 1 0.16685 0.000346 0.030697 0.019023 0.116784 16
2900 1 0.180268 0.000353 0.030547 0.019476 0.129892 16
3000 1 0.194993 0.000348 0.031715 0.019021 0.143909 16
3100 1 0.210443 0.00035 0.032757 0.019011 0.158325 16
3200 1 0.22849 0.000349 0.033749 0.019025 0.175367 16
3300 1 0.251162 0.000338 0.035372 0.019008 0.196444 6
3400 1 0.267766 0.00035 0.035852 0.019006 0.212558 6
3500 1 0.284637 0.000345 0.03689 0.01901 0.228392 6
3600 1 0.330273 0.000347 0.039296 0.019054 0.271576 6
3700 1 0.367668 0.000345 0.039866 0.019533 0.307924 6
3800 1 0.395392 0.000336 0.040291 0.019003 0.335762 4
3900 1 0.421878 0.000343 0.041603 0.019 0.360932 4
4000 1 0.457846 0.000333 0.04237 0.019014 0.396129 4
4100 1 0.498497 0.000337 0.04356 0.019454 0.435146 4
4200 1 0.536158 0.000306 0.044491 0.019034 0.472327 3
4300 1 0.582475 0.000335 0.045568 0.019506 0.517066 3
4400 1 0.622829 0.000344 0.046528 0.019006 0.556951 3
4500 1 0.682101 0.000333 0.047726 0.019008 0.615034 2
4600 1 0.749917 0.000338 0.048636 0.018956 0.681987 2
4700 1 0.827843 0.000434 0.053677 0.019678 0.754054 2
4800 1 0.877694 0.000329 0.054998 0.019655 0.802712 2
4900 1 0.93029 0.000335 0.056064 0.019093 0.854798 2
5000 1 0.998029 0.000333 0.056882 0.019121 0.921693 2
5100 1 1.06404 0.000325 0.05799 0.01908 0.986648 2
5200 1 1.15047 0.000336 0.05898 0.019798 1.07135 1
5300 1 1.22914 0.000327 0.060249 0.019064 1.1495 1
5400 1 1.29662 0.000331 0.061297 0.019055 1.21594 1
5500 1 1.39581 0.000332 0.06297 0.019125 1.31338 1
5600 1 1.27271 0.000329 0.064135 0.019078 1.18917 1
5700 1 1.54034 0.000448 0.062623 0.019025 1.45825 1
5800 1 1.64371 0.000441 0.064407 0.018986 1.55987 1
5900 1 1.7524 0.00051 0.065445 0.019002 1.66744 1
6000 1 1.83943 0.000472 0.068536 0.019015 1.75141 1
6100 1 1.9337 0.000497 0.066853 0.019045 1.8473 1
6200 1 1.93698 0.000423 0.068303 0.018984 1.84926 1
6300 1 1.93371 0.000446 0.068287 0.019627 1.84535 1
6400 1 2.0723 0.000397 0.070614 0.01921 1.98208 1
6500 1 2.23425 0.000255 0.074533 0.019171 2.14029 1
6600 1 2.32747 0.000255 0.076692 0.019367 2.23116 1
6700 1 2.38361 0.000261 0.077405 0.019109 2.28684 1
6800 1 2.63146 0.000269 0.079391 0.019437 2.53237 1
6900 1 2.65811 0.000256 0.079545 0.019276 2.55903 1
7000 1 2.66078 0.00026 0.080151 0.019253 2.56111 1
7100 1 3.11869 0.000416 0.076962 0.019175 3.02214 1
7200 1 3.40695 0.000416 0.077575 0.019092 3.30987 1
7300 1 3.33197 0.000431 0.084532 0.024996 3.22201 1
7400 1 2.7359 0.000252 0.079083 0.018979 2.63759 1
7500 1 2.84735 0.000494 0.085054 0.018916 2.74288 1
7600 1 2.96132 0.001079 0.081653 0.018964 2.85962 1
7700 1 3.08685 0.000252 0.083757 0.018959 2.98389 1
7800 1 3.20083 0.001253 0.086276 0.018894 3.09441 1
7900 1 3.37637 0.00136 0.087487 0.019061 3.26847 1
8000 1 3.50831 0.000256 0.086935 0.018992 3.40213 1
8100 1 3.62878 0.000258 0.08775 0.018954 3.52181 1
8200 1 3.79189 0.000252 0.08934 0.019121 3.68318 1
8300 1 3.90495 0.000213 0.08983 0.018958 3.79595 1
8400 1 4.11216 0.000235 0.090819 0.018952 4.00216 1
8500 1 4.16845 0.000472 0.094783 0.018926 4.05427 1
8600 1 4.30058 0.000931 0.095704 0.018997 4.18495 1
8700 1 4.47437 0.000253 0.094083 0.018952 4.36108 1
8800 1 4.5746 0.000928 0.096137 0.018964 4.45857 1
8900 1 4.75079 0.000326 0.098664 0.018895 4.6329 1
9000 1 4.84516 0.000314 0.100255 0.018894 4.7257 1
9100 1 4.99537 0.000318 0.100917 0.018903 4.87523 1
9200 1 5.15602 0.000326 0.105041 0.018899 5.03175 1
9300 1 5.29478 0.000328 0.103723 0.018916 5.17181 1
9400 1 5.43196 0.00033 0.104217 0.018899 5.30851 1
9500 1 5.5739 0.000329 0.105011 0.018894 5.44967 1
9600 1 5.70999 0.000326 0.107137 0.018899 5.58362 1
9700 1 5.90664 0.000318 0.103954 0.018979 5.78339 1
9800 1 6.0228 0.000319 0.108357 0.018922 5.8952 1
9900 1 6.1802 0.000329 0.109451 0.018886 6.05153 1
10000 1 6.34028 0.000318 0.106854 0.018986 6.21412 1
