"Number of Particles" "Step time" "Emission time" "LBM step time" "Update time"
100 0.019414 3.2e-05 0.019225 0.000157
200 0.019733 1.9e-05 0.01914 0.000574
300 0.020444 1.7e-05 0.019157 0.00127
400 0.021447 1.8e-05 0.019194 0.002235
500 0.02264 1.7e-05 0.019169 0.003454
600 0.024121 1.8e-05 0.019162 0.004941
700 0.025872 1.8e-05 0.019165 0.006689
800 0.02786 1.7e-05 0.019144 0.008699
900 0.030179 1.8e-05 0.019165 0.010996
1000 0.032694 1.8e-05 0.019114 0.013562
1100 0.035511 1.8e-05 0.019127 0.016366
1200 0.038587 3.1e-05 0.019118 0.019438
1300 0.042008 3.1e-05 0.01916 0.022817
1400 0.045502 3.4e-05 0.019146 0.026322
1500 0.049379 2.8e-05 0.019164 0.030187
1600 0.053519 3.2e-05 0.019145 0.034342
1700 0.058045 3e-05 0.019163 0.038852
1800 0.062608 2.8e-05 0.019123 0.043457
1900 0.067518 3.1e-05 0.01913 0.048357
2000 0.072807 2.9e-05 0.019166 0.053612
2100 0.078234 3.3e-05 0.019125 0.059076
2200 0.083945 2.7e-05 0.019114 0.064804
2300 0.090016 3e-05 0.019129 0.070857
2400 0.096218 2.9e-05 0.019114 0.077075
2500 0.102729 3e-05 0.019135 0.083564
2600 0.109535 3.1e-05 0.019125 0.090379
2700 0.116787 3.3e-05 0.019128 0.097626
2800 0.123943 2.9e-05 0.019117 0.104797
2900 0.131468 3e-05 0.019131 0.112307
3000 0.139422 2.8e-05 0.019237 0.120157
3100 0.147455 3e-05 0.019127 0.128298
3200 0.155798 3.2e-05 0.019113 0.136653
3300 0.164344 2.9e-05 0.019122 0.145193
3400 0.17335 3.3e-05 0.019119 0.154198
3500 0.182467 2.9e-05 0.019126 0.163312
3600 0.191961 3e-05 0.019132 0.172799
3700 0.201662 3.1e-05 0.019127 0.182504
3800 0.211593 3.5e-05 0.019169 0.192389
3900 0.222016 3e-05 0.019186 0.2028
4000 0.23245 2.9e-05 0.019113 0.213308
4100 0.243126 2.8e-05 0.019128 0.22397
4200 0.254473 3.5e-05 0.01911 0.235328
4300 0.265381 3.3e-05 0.019116 0.246232
4400 0.277173 3.6e-05 0.019109 0.258028
4500 0.288639 3.2e-05 0.019123 0.269484
4600 0.301163 3.7e-05 0.019118 0.282008
4700 0.313569 3.1e-05 0.019143 0.294395
4800 0.325796 3.5e-05 0.019168 0.306593
4900 0.339043 3.4e-05 0.019118 0.319891
5000 0.352195 4e-05 0.019122 0.333033
5100 0.365279 3.6e-05 0.019114 0.346129
5200 0.379364 3.9e-05 0.019111 0.360214
5300 0.393214 3.2e-05 0.01912 0.374062
5400 0.407521 3.3e-05 0.01911 0.388378
5500 0.42177 3.3e-05 0.019116 0.402621
5600 0.436743 3e-05 0.019402 0.417311
5700 0.451838 3.7e-05 0.01913 0.432671
5800 0.466923 3.1e-05 0.019119 0.447773
5900 0.482507 3.2e-05 0.019124 0.463351
6000 0.498499 3e-05 0.01911 0.479359
6100 0.514363 3.2e-05 0.019123 0.495208
6200 0.531241 3.7e-05 0.019109 0.512095
6300 0.548373 3.2e-05 0.019115 0.529226
6400 0.564716 2.9e-05 0.019115 0.545572
6500 0.582611 3.6e-05 0.019368 0.563207
6600 0.599616 3.2e-05 0.019107 0.580477
6700 0.616915 3.2e-05 0.019116 0.597767
6800 0.635791 3.2e-05 0.019115 0.616644
6900 0.653604 3.1e-05 0.019123 0.63445
7000 0.671666 3.8e-05 0.019106 0.652522
7100 0.691094 3e-05 0.019134 0.67193
7200 0.709515 3.1e-05 0.019106 0.690378
7300 0.728594 3.6e-05 0.019118 0.70944
7400 0.749029 4e-05 0.019106 0.729883
7500 0.769915 3e-05 0.019188 0.750697
7600 0.78872 3.1e-05 0.019106 0.769583
7700 0.809651 3.5e-05 0.019116 0.7905
7800 0.829569 3.2e-05 0.019111 0.810426
7900 0.850939 3e-05 0.019127 0.831782
8000 0.871826 3.3e-05 0.019132 0.852661
8100 0.894063 3.2e-05 0.019118 0.874913
8200 0.915575 2.8e-05 0.019105 0.896442
8300 0.93807 3.1e-05 0.019114 0.918925
8400 0.960865 3.7e-05 0.019118 0.94171
8500 1.01811 3.2e-05 0.01918 0.998899
8600 1.0446 3e-05 0.019101 1.02547
8700 1.06437 3.7e-05 0.019117 1.04522
8800 1.10765 3.1e-05 0.019116 1.0885
8900 1.13419 3.1e-05 0.019378 1.11478
9000 1.15635 3.1e-05 0.019126 1.13719
9100 1.18028 3.5e-05 0.019121 1.16112
9200 1.24161 3.2e-05 0.019112 1.22247
9300 1.27096 3.1e-05 0.01912 1.25181
9400 1.29684 2.8e-05 0.019421 1.27739
9500 1.32459 3.8e-05 0.019131 1.30542
9600 1.35329 3.1e-05 0.019106 1.33415
9700 1.38295 3.1e-05 0.019128 1.3638
9800 1.41426 2.8e-05 0.019107 1.39512
9900 1.44134 3.8e-05 0.01912 1.42219
10000 1.46719 3.1e-05 0.019113 1.44804
