"Domain size" "MLUP/s" "FMLUP/s" "Fluid" "Boundary total" "Boundary no-slip" "Boundary acceleration"
20 1.5712 1.30483 0.877818 0.122182 0.0886941 0.0334881
30 1.56161 1.40213 0.905511 0.0944888 0.0719068 0.022582
40 1.52894 1.41371 0.927256 0.0727441 0.0564186 0.0163255
50 1.54979 1.459 0.939788 0.0602119 0.0475728 0.0126391
60 1.44366 1.36857 0.95286 0.0471404 0.0372562 0.00988414
70 1.37136 1.31263 0.95773 0.0422703 0.0337545 0.00851573
80 1.43451 1.37876 0.964336 0.0356639 0.0281029 0.00756106
90 1.43215 1.38321 0.96788 0.0321201 0.0255161 0.00660401
100 1.38935 1.34596 0.971534 0.0284659 0.0226001 0.00586587
110 1.40152 1.36212 0.973821 0.0261787 0.0208798 0.00529896
120 1.2888 1.25697 0.974909 0.025091 0.0198608 0.0052302
