"Number of Particles" "Step time" "Emission time" "LBM step time" "Update time"
100 1.2985 4.2e-05 1.29823 0.000225
200 1.29515 2e-05 1.29433 0.000801
300 1.29647 1.8e-05 1.29468 0.001772
400 1.29456 1.6e-05 1.29144 0.003106
500 1.29796 1.6e-05 1.29318 0.004766
600 1.3015 1.7e-05 1.29464 0.006846
700 1.30191 1.6e-05 1.29267 0.009228
800 1.30386 1.6e-05 1.29187 0.011978
900 1.30722 1.6e-05 1.29083 0.016372
1000 1.3105 1.7e-05 1.29185 0.01863
1100 1.31476 1.7e-05 1.29227 0.022474
1200 1.31801 1.6e-05 1.29132 0.026678
1300 1.32238 1.7e-05 1.29104 0.031325
1400 1.33112 1.6e-05 1.29489 0.036218
1500 1.33238 1.6e-05 1.29091 0.041454
1600 1.33964 1.6e-05 1.29252 0.047111
1700 1.34537 1.6e-05 1.29204 0.053312
1800 1.35209 1.6e-05 1.29228 0.059785
1900 1.35835 1.6e-05 1.29188 0.066456
2000 1.36577 1.6e-05 1.29212 0.073631
2100 1.37353 1.6e-05 1.29212 0.081392
2200 1.38079 1.6e-05 1.29128 0.089497
2300 1.39094 1.7e-05 1.29319 0.097733
2400 1.39718 1.7e-05 1.29094 0.106226
2500 1.40975 1.6e-05 1.29435 0.115382
2600 1.41615 1.7e-05 1.29145 0.124684
2700 1.42684 1.6e-05 1.29247 0.134359
2800 1.43651 1.6e-05 1.29195 0.144546
2900 1.44876 1.7e-05 1.29374 0.155006
3000 1.45791 1.6e-05 1.29202 0.165875
3100 1.47097 1.6e-05 1.29398 0.176979
3200 1.48119 1.7e-05 1.29283 0.188345
3300 1.49315 1.7e-05 1.29308 0.200051
3400 1.50479 1.6e-05 1.2924 0.21237
3500 1.51923 1.6e-05 1.29361 0.225603
3600 1.53164 1.7e-05 1.29279 0.238837
3700 1.54551 1.6e-05 1.29306 0.252439
3800 1.56265 1.8e-05 1.29555 0.26708
3900 1.58304 1.8e-05 1.30258 0.280442
4000 1.5865 1.6e-05 1.29198 0.2945
4100 1.6038 1.6e-05 1.29347 0.31032
4200 1.61834 1.7e-05 1.29327 0.325054
4300 1.63395 1.7e-05 1.29268 0.341255
4400 1.65003 1.6e-05 1.29297 0.357044
4500 1.66857 1.6e-05 1.29477 0.37378
4600 1.68402 1.6e-05 1.29334 0.390658
4700 1.70063 1.6e-05 1.29274 0.407873
4800 1.71932 1.7e-05 1.29389 0.425409
4900 1.73562 1.6e-05 1.29336 0.442248
5000 1.75349 1.6e-05 1.29282 0.460658
5100 1.77431 1.7e-05 1.29443 0.479865
5200 1.79114 1.7e-05 1.29286 0.498264
5300 1.81362 1.6e-05 1.29327 0.520328
5400 1.83042 1.7e-05 1.29285 0.537551
5500 1.85245 1.7e-05 1.29404 0.558387
5600 1.87286 1.7e-05 1.29376 0.579085
5700 1.89454 1.6e-05 1.29346 0.601071
5800 1.91554 1.6e-05 1.29276 0.622768
5900 1.93805 1.7e-05 1.29406 0.643971
6000 1.95938 1.6e-05 1.29427 0.66509
6100 1.98269 1.6e-05 1.29298 0.689692
6200 2.0037 1.7e-05 1.29314 0.710536
6300 2.02884 1.6e-05 1.2944 0.734418
6400 2.05314 1.6e-05 1.29424 0.758881
6500 2.07569 1.6e-05 1.29309 0.782592
6600 2.10091 1.7e-05 1.29438 0.806508
6700 2.12526 1.7e-05 1.29326 0.831987
6800 2.14906 1.6e-05 1.29291 0.85613
6900 2.17721 1.7e-05 1.2946 0.882594
7000 2.20155 1.7e-05 1.29424 0.907299
7100 2.22976 1.6e-05 1.29513 0.93461
7200 2.25336 1.7e-05 1.29268 0.960664
7300 2.28325 1.7e-05 1.2948 0.988433
7400 2.30808 1.7e-05 1.2932 1.01486
7500 2.33542 1.6e-05 1.29281 1.04259
7600 2.36522 1.7e-05 1.29293 1.07228
7700 2.39219 1.7e-05 1.29282 1.09935
7800 2.42046 1.6e-05 1.29489 1.12556
7900 2.4504 1.7e-05 1.29405 1.15633
8000 2.48142 1.7e-05 1.29403 1.18737
8100 2.51075 1.8e-05 1.29282 1.2179
8200 2.54631 1.7e-05 1.29834 1.24795
8300 2.57597 1.8e-05 1.30028 1.27567
8400 2.59968 1.7e-05 1.29478 1.30489
8500 2.63058 1.7e-05 1.29337 1.3372
8600 2.66222 1.6e-05 1.29356 1.36865
8700 2.6978 1.7e-05 1.29301 1.40477
8800 2.72731 1.7e-05 1.29305 1.43424
8900 2.76048 1.6e-05 1.29353 1.46694
9000 2.79513 1.7e-05 1.29295 1.50216
9100 2.82878 1.7e-05 1.294 1.53476
9200 2.86 1.6e-05 1.29367 1.56632
9300 2.89661 1.7e-05 1.29409 1.60251
9400 2.93252 1.8e-05 1.29096 1.64154
9500 2.966 1.8e-05 1.2912 1.67478
9598 3.04153 1.8e-05 1.31178 1.72973
9691 3.07405 1.8e-05 1.311 1.76303
9774 3.12563 1.8e-05 1.31306 1.81255
9772 3.08953 1.8e-05 1.29101 1.7985
9780 3.10647 2e-05 1.30399 1.80246
