"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 1 0.028924 0.000209 0.007679 0.021008 2.8e-05 1
40 1 0.028608 0.000477 0.00704 0.021024 6.7e-05 1
60 1 0.025739 0.000392 0.003515 0.021739 9.3e-05 1
80 1 0.02809 0.000396 0.006473 0.021017 0.000204 1
100 1 0.027291 0.000401 0.003901 0.022789 0.0002 1
120 1 0.028161 0.000412 0.004112 0.023366 0.000271 1
140 1 0.029757 0.000433 0.007387 0.021579 0.000358 1
160 1 0.026921 0.00044 0.004748 0.021282 0.000451 1
180 1 0.028059 0.000434 0.004986 0.022079 0.00056 1
200 1 0.030048 0.000429 0.00789 0.021057 0.000672 1
220 1 0.028457 0.000416 0.005424 0.02182 0.000797 1
240 1 0.028345 0.000421 0.00606 0.020937 0.000927 1
260 1 0.031635 0.000438 0.008701 0.021434 0.001062 1
280 1 0.029113 0.000421 0.00653 0.020933 0.001229 1
300 1 0.030176 0.000491 0.006656 0.021643 0.001386 1
320 1 0.03239 0.000417 0.009418 0.020987 0.001568 1
340 1 0.030934 0.000432 0.007662 0.020948 0.001892 1
360 1 0.030727 0.000403 0.007382 0.02096 0.001982 1
380 1 0.035783 0.000436 0.010726 0.022445 0.002176 1
400 1 0.035161 0.000225 0.010561 0.02198 0.002395 1
420 1 0.032234 0.000402 0.008185 0.020962 0.002685 1
440 1 0.035882 0.000421 0.011546 0.021037 0.002878 1
460 1 0.033252 0.000425 0.008697 0.020986 0.003144 1
480 1 0.034305 0.000415 0.009471 0.021023 0.003396 1
500 1 0.036791 0.000407 0.011701 0.020936 0.003747 1
520 1 0.035618 0.000604 0.010091 0.020971 0.003952 1
540 1 0.036046 0.000394 0.010438 0.020971 0.004243 1
560 1 0.038409 0.000406 0.012458 0.020933 0.004612 1
580 1 0.037311 0.000633 0.010664 0.021041 0.004973 1
600 1 0.037828 0.000599 0.011083 0.020938 0.005208 1
620 1 0.03908 0.000658 0.011232 0.020941 0.006249 1
640 1 0.039096 0.000343 0.011168 0.021002 0.006583 1
660 1 0.039708 0.000342 0.011489 0.020943 0.006934 1
680 1 0.040396 0.000348 0.011725 0.02094 0.007383 1
700 1 0.041272 0.000342 0.011981 0.021024 0.007925 1
720 1 0.041802 0.000322 0.012315 0.020994 0.008171 1
740 1 0.04245 0.000354 0.012649 0.020943 0.008504 1
760 1 0.043249 0.000371 0.012926 0.020936 0.009016 1
780 1 0.043843 0.000364 0.013087 0.020948 0.009444 1
800 1 0.04449 0.000353 0.013288 0.021018 0.009831 1
820 1 0.045226 0.000348 0.013579 0.020934 0.010365 1
840 1 0.045957 0.000354 0.013741 0.021001 0.010861 1
860 1 0.046582 0.000347 0.01401 0.020993 0.011232 1
880 1 0.047462 0.000436 0.014218 0.02103 0.011778 29
900 1 0.048131 0.00035 0.014552 0.020999 0.01223 29
920 1 0.048868 0.000357 0.01476 0.020926 0.012825 29
940 1 0.049613 0.000362 0.014985 0.02093 0.013336 29
960 1 0.05054 0.000358 0.01524 0.020983 0.013959 29
980 1 0.051212 0.000348 0.015476 0.020978 0.01441 29
1000 1 0.051959 0.000359 0.01569 0.020987 0.014923 29
1020 1 0.052882 0.000359 0.015996 0.021011 0.015516 29
1040 1 0.053623 0.000367 0.016266 0.021553 0.015437 29
1060 1 0.054448 0.000367 0.016428 0.020973 0.01668 29
1080 1 0.055233 0.000375 0.01668 0.021524 0.016654 29
1100 1 0.056118 0.000388 0.016857 0.021595 0.017278 29
1120 1 0.057083 0.000396 0.017147 0.021582 0.017958 29
1140 1 0.058336 0.000383 0.017506 0.021033 0.019414 29
1160 1 0.058702 0.000366 0.017653 0.021538 0.019145 29
1180 1 0.059614 0.000399 0.017856 0.021572 0.019787 29
1200 1 0.060538 0.000386 0.018111 0.021559 0.020482 29
1220 1 0.061518 0.000468 0.018393 0.021504 0.021153 29
1240 1 0.062476 0.000401 0.018648 0.021594 0.021833 29
1260 1 0.063371 0.000391 0.018906 0.021533 0.022541 29
1280 1 0.06438 0.0004 0.019173 0.021543 0.023264 29
1300 1 0.065222 0.000391 0.019336 0.02153 0.023965 29
1320 1 0.066563 0.000427 0.019688 0.021598 0.02485 29
1340 1 0.067238 0.000387 0.019916 0.021532 0.025403 29
1360 1 0.068298 0.000392 0.020163 0.021535 0.026208 29
1380 1 0.069261 0.000397 0.020429 0.021518 0.026917 29
1400 1 0.070376 0.000394 0.02072 0.021531 0.027731 18
1420 1 0.071509 0.000392 0.02099 0.021641 0.028486 18
1440 1 0.072775 0.000377 0.021552 0.021573 0.029273 18
1460 1 0.074456 0.000377 0.022425 0.021532 0.030122 18
1480 1 0.074664 0.000392 0.021839 0.02159 0.030843 18
1500 1 0.075615 0.000396 0.021953 0.021599 0.031667 18
1520 1 0.076788 0.000399 0.022304 0.021559 0.032526 18
1540 1 0.077967 0.000385 0.022583 0.021622 0.033377 18
1560 1 0.078933 0.000389 0.022819 0.021526 0.034199 18
1580 1 0.079944 0.000382 0.022967 0.02153 0.035065 18
1600 1 0.083075 0.000395 0.025931 0.020921 0.035828 18
1620 1 0.085313 0.000221 0.026673 0.021594 0.036825 18
1640 1 0.083779 0.000395 0.024024 0.021632 0.037728 18
1660 1 0.08474 0.00039 0.024145 0.021591 0.038614 18
1680 1 0.088513 0.000385 0.024425 0.021845 0.041858 18
1700 1 0.087618 0.000364 0.02454 0.021686 0.041028 18
1720 1 0.088933 0.000396 0.024956 0.021628 0.041953 18
1740 1 0.09012 0.000381 0.025202 0.021582 0.042955 18
1760 1 0.091852 0.000386 0.025429 0.021628 0.044409 18
1780 1 0.093133 0.000386 0.025788 0.021508 0.045451 13
1800 1 0.094458 0.000396 0.025862 0.021726 0.046474 13
1820 1 0.095481 0.000392 0.026115 0.021573 0.047401 13
1840 1 0.096863 0.00039 0.026464 0.021525 0.048484 13
1860 1 0.098187 0.000387 0.026654 0.021636 0.04951 13
1880 1 0.099458 0.000381 0.027062 0.021541 0.050474 13
1900 1 0.101109 0.000394 0.027639 0.021561 0.051515 13
1920 1 0.10239 0.00039 0.027841 0.021529 0.05263 13
1940 1 0.10341 0.000381 0.027793 0.021509 0.053727 13
1960 1 0.105003 0.000383 0.028012 0.021596 0.055012 13
1980 1 0.106318 0.000388 0.02835 0.02158 0.056 13
2000 1 0.10781 0.000385 0.028647 0.021558 0.05722 13
2020 1 0.110151 0.000391 0.028785 0.021607 0.059368 13
2040 1 0.111301 0.000381 0.029017 0.021524 0.060379 13
2060 1 0.113452 0.000388 0.02938 0.021528 0.062156 13
2080 1 0.115138 0.000363 0.029649 0.02152 0.063606 10
2100 1 0.116217 0.000357 0.029801 0.021604 0.064455 10
2120 1 0.117629 0.000379 0.029923 0.021573 0.065754 10
2140 1 0.119668 0.000378 0.03034 0.021571 0.067379 10
2160 1 0.121099 0.000382 0.030602 0.021546 0.068569 10
2180 1 0.122562 0.000386 0.030792 0.021518 0.069866 10
2200 1 0.124143 0.000386 0.031072 0.021657 0.071028 10
2220 1 0.12623 0.00038 0.031383 0.02158 0.072887 10
2240 1 0.127815 0.000378 0.031413 0.021557 0.074467 10
2260 1 0.129893 0.000379 0.031914 0.021554 0.076046 10
2280 1 0.131345 0.000383 0.032345 0.021541 0.077076 10
2300 1 0.132906 0.000381 0.032532 0.021568 0.078425 10
2320 1 0.134499 0.000384 0.032784 0.021609 0.079722 10
2340 1 0.136231 0.000378 0.033158 0.021571 0.081124 8
2360 1 0.137709 0.000383 0.033217 0.021573 0.082536 8
2380 1 0.139205 0.000386 0.033353 0.021556 0.08391 8
2400 1 0.144015 0.000388 0.035518 0.021569 0.08654 8
2420 1 0.14256 0.000363 0.033944 0.021506 0.086747 8
2440 1 0.147394 0.000385 0.03432 0.021567 0.091122 8
2460 1 0.149586 0.000376 0.03449 0.02175 0.09297 8
2480 1 0.152859 0.000393 0.03641 0.020862 0.095194 8
2500 1 0.160596 0.00022 0.040664 0.020965 0.098747 8
2520 1 0.157616 0.000383 0.035304 0.021565 0.100364 8
2540 1 0.159103 0.000369 0.035495 0.021551 0.101688 8
2560 1 0.16155 0.000376 0.035864 0.021524 0.103786 7
2580 1 0.16348 0.000377 0.036057 0.021609 0.105437 7
2600 1 0.165005 0.000374 0.0362 0.021561 0.10687 7
2620 1 0.166982 0.000377 0.037233 0.020985 0.108387 7
2640 1 0.169607 0.000381 0.036873 0.021542 0.110811 7
2660 1 0.171553 0.000359 0.037221 0.021481 0.112492 7
2680 1 0.173212 0.000381 0.038036 0.020939 0.113856 7
2700 1 0.174913 0.000387 0.0375 0.021631 0.115395 7
2720 1 0.179946 0.000381 0.037843 0.021516 0.120206 7
2740 1 0.181703 0.000373 0.038221 0.021524 0.121585 6
2760 1 0.185562 0.00038 0.038979 0.020929 0.125274 6
2780 1 0.188737 0.000378 0.039354 0.020944 0.128061 6
2800 1 0.190125 0.000389 0.038833 0.021266 0.129637 6
2820 1 0.192663 0.000382 0.039798 0.020932 0.131551 6
2840 1 0.194421 0.000374 0.039368 0.021524 0.133155 6
2860 1 0.200133 0.000378 0.040308 0.020931 0.138516 6
2880 1 0.200294 0.000439 0.040794 0.020944 0.138117 6
2900 1 0.20213 0.000381 0.040841 0.020927 0.139981 6
2920 1 0.205855 0.000373 0.040796 0.020945 0.143741 6
2940 1 0.209644 0.000375 0.041194 0.020928 0.147147 6
2960 1 0.214495 0.000373 0.041458 0.020941 0.151723 6
2980 1 0.217176 0.000444 0.042481 0.02095 0.153301 6
3000 1 0.218566 0.000374 0.041931 0.020928 0.155333 6
3020 1 0.222179 0.000381 0.042326 0.020931 0.158541 6
3040 1 0.227834 0.000154 0.042814 0.020942 0.163924 6
3060 1 0.230491 0.000376 0.042968 0.021039 0.166108 5
3080 1 0.233401 0.000374 0.042979 0.020938 0.16911 5
3100 1 0.238091 0.000367 0.043498 0.020932 0.173294 5
3120 1 0.24299 0.000376 0.043541 0.020973 0.1781 5
3140 1 0.248618 0.000375 0.043889 0.020971 0.183383 5
3160 1 0.252693 0.000366 0.044125 0.020942 0.18726 5
3180 1 0.256648 0.00037 0.044375 0.020935 0.190968 5
3200 1 0.265571 0.000371 0.044865 0.021001 0.199334 5
3220 1 0.274895 0.000385 0.045091 0.022824 0.206595 5
3240 1 0.274816 0.000372 0.045183 0.020955 0.208306 5
3260 1 0.278501 0.000373 0.045435 0.021009 0.211684 5
3280 1 0.282114 0.000371 0.045734 0.020996 0.215013 5
3300 1 0.285563 0.00037 0.046024 0.020979 0.21819 5
3320 1 0.291262 0.000379 0.046976 0.020935 0.222972 4
3340 1 0.295719 0.000372 0.046283 0.02093 0.228134 4
3360 1 0.301292 0.000373 0.046706 0.020928 0.233285 4
3380 1 0.308337 0.000367 0.048712 0.020922 0.238336 4
3400 1 0.313244 0.000361 0.047122 0.020993 0.244768 4
3420 1 0.317868 0.000377 0.047405 0.020939 0.249147 4
3440 1 0.326033 0.000364 0.047677 0.020993 0.256999 4
3460 1 0.335603 0.000385 0.051929 0.020929 0.26236 4
3480 1 0.342046 0.000363 0.048135 0.021038 0.27251 4
3500 1 0.343655 0.000359 0.048509 0.020926 0.273861 4
3520 1 0.350485 0.000368 0.048755 0.020979 0.280383 3
3540 1 0.360246 0.000376 0.051639 0.020928 0.287303 3
3560 1 0.361778 0.000166 0.049462 0.020923 0.291227 3
3580 1 0.367807 0.000369 0.049679 0.020926 0.296833 3
