"Number of Particles" "Step time" "Emission time" "LBM step time" "Update time"
100 0.158287 3.1e-05 0.158095 0.000161
200 0.158628 1.7e-05 0.15803 0.000581
300 0.159282 1.6e-05 0.157997 0.001269
400 0.160248 2.2e-05 0.157992 0.002234
500 0.161399 1.7e-05 0.157924 0.003458
600 0.162914 1.6e-05 0.157951 0.004947
700 0.164695 1.7e-05 0.15799 0.006688
800 0.166869 1.6e-05 0.158158 0.008695
900 0.168998 1.7e-05 0.158002 0.010979
1000 0.171566 1.7e-05 0.158031 0.013518
1100 0.174387 1.6e-05 0.158049 0.016322
1200 0.177489 1.7e-05 0.158048 0.019424
1300 0.180834 1.6e-05 0.158079 0.022739
1400 0.184402 1.7e-05 0.158046 0.026339
1500 0.188331 1.6e-05 0.158072 0.030243
1600 0.192344 1.7e-05 0.157962 0.034365
1700 0.196719 1.7e-05 0.157941 0.038761
1800 0.201397 1.7e-05 0.157965 0.043415
1900 0.206479 1.7e-05 0.158112 0.04835
2000 0.211642 1.7e-05 0.158028 0.053597
2100 0.217111 1.6e-05 0.158015 0.05908
2200 0.222874 1.7e-05 0.158001 0.064856
2300 0.228939 1.6e-05 0.158053 0.07087
2400 0.235063 1.6e-05 0.15798 0.077067
2500 0.241525 1.7e-05 0.157973 0.083535
2600 0.248248 1.6e-05 0.157935 0.090297
2700 0.255489 1.7e-05 0.158001 0.097471
2800 0.262707 1.6e-05 0.157976 0.104715
2900 0.270287 1.6e-05 0.158003 0.112268
3000 0.278053 1.7e-05 0.157926 0.12011
3100 0.286241 1.6e-05 0.158012 0.128213
3200 0.294587 1.6e-05 0.158034 0.136537
3300 0.303102 1.7e-05 0.15799 0.145095
3400 0.312258 1.7e-05 0.157894 0.154347
3500 0.321141 1.7e-05 0.157865 0.163259
3600 0.331631 1.8e-05 0.158266 0.173347
3700 0.34133 1.8e-05 0.15789 0.183422
3800 0.351404 1.6e-05 0.157835 0.193553
3900 0.361767 1.9e-05 0.15826 0.203488
4000 0.372075 3.7e-05 0.157886 0.214152
4100 0.382806 3.1e-05 0.157858 0.224917
4200 0.393706 2.8e-05 0.157942 0.235736
4300 0.405235 3.3e-05 0.158241 0.246961
4400 0.416881 3.6e-05 0.158238 0.258607
4500 0.428733 3.3e-05 0.157904 0.270796
4600 0.440654 2.9e-05 0.157857 0.282768
4700 0.452951 3e-05 0.157846 0.295075
4800 0.465651 2.9e-05 0.157868 0.307754
4900 0.478675 3e-05 0.157957 0.320688
5000 0.491643 3.3e-05 0.157855 0.333755
5100 0.505138 3.8e-05 0.157935 0.347165
5200 0.518672 3.1e-05 0.157852 0.360789
5300 0.532716 3.3e-05 0.157876 0.374807
5400 0.546875 2.9e-05 0.157847 0.388999
5500 0.561631 3.3e-05 0.157874 0.403724
5600 0.576288 3.1e-05 0.157841 0.418416
5700 0.591402 2.9e-05 0.157901 0.433472
5800 0.607133 3e-05 0.158234 0.448869
5900 0.622387 3.1e-05 0.157917 0.464439
6000 0.638257 2.9e-05 0.157942 0.480286
6100 0.654674 2.9e-05 0.157849 0.496796
6200 0.671048 3.1e-05 0.158337 0.51268
6300 0.687266 3.6e-05 0.15789 0.52934
6400 0.704214 3.1e-05 0.15785 0.546333
6500 0.721544 3.2e-05 0.158253 0.563259
6600 0.738526 3.1e-05 0.157932 0.580563
6700 0.7572 2.9e-05 0.159099 0.598072
6800 0.774511 2.9e-05 0.157853 0.616629
6900 0.793342 3e-05 0.158277 0.635035
7000 0.811665 3.3e-05 0.157848 0.653784
7100 0.830594 3.1e-05 0.157869 0.672694
7200 0.849988 2.8e-05 0.158226 0.691734
7300 0.870561 3e-05 0.157862 0.712669
7400 0.888496 3.1e-05 0.157844 0.730621
7500 0.908139 3.5e-05 0.157929 0.750175
7600 0.928441 3.5e-05 0.158259 0.770147
7700 0.949182 3.1e-05 0.158255 0.790896
7800 0.969693 3.2e-05 0.157848 0.811813
7900 0.990334 2.9e-05 0.157866 0.832439
8000 1.01142 3.1e-05 0.157982 0.853402
8100 1.03261 3e-05 0.157862 0.874721
8200 1.08708 3.3e-05 0.157852 0.929198
8300 1.11019 2.9e-05 0.158297 0.951866
8400 1.13192 3.2e-05 0.157945 0.973945
8500 1.15525 3.1e-05 0.157841 0.997374
8600 1.1782 3.4e-05 0.157856 1.02031
8700 1.20271 3.6e-05 0.15823 1.04444
8800 1.2268 3.1e-05 0.157865 1.06891
8900 1.25048 3.1e-05 0.158245 1.0922
9000 1.27381 2.9e-05 0.157843 1.11594
9100 1.29851 2.9e-05 0.158232 1.14024
9200 1.32336 3e-05 0.157919 1.16541
9300 1.34879 3.2e-05 0.157885 1.19087
9400 1.3725 3e-05 0.158238 1.21423
9500 1.39804 3e-05 0.15789 1.24012
9600 1.42495 3.1e-05 0.15785 1.26707
9700 1.45157 3.1e-05 0.157942 1.2936
9800 1.47939 3.1e-05 0.157878 1.32148
9900 1.5055 3.7e-05 0.158314 1.34715
10000 1.53241 3e-05 0.157884 1.3745
