"Number of cells" "Runtime staircase" "Runtime curved" "Runtime moving" "Share staircase" "Share curved" "Share moving" "MLUP/s staircase" "MLUP/s curved" "MLUP/s moving"
344 0.006133 0.014415 0.030297 6.90628e-05 0.000162776 0.000346427 5.609 2.3864 1.13543
1448 0.024937 0.052801 0.154778 0.000280572 0.000596358 0.00176602 5.80663 2.74237 0.935533
3392 0.057183 0.116211 0.435923 0.000643699 0.00131084 0.00491597 5.93183 2.91883 0.778119
6104 0.103296 0.200077 0.929912 0.00116629 0.0022556 0.0103953 5.90923 3.05083 0.656406
9720 0.163457 0.316431 1.71054 0.00183981 0.0035653 0.0189214 5.94652 3.07176 0.568242
14040 0.231594 0.444998 2.76936 0.00261582 0.00502261 0.0303174 6.06233 3.15507 0.506976
19224 0.317256 0.603806 4.27434 0.00358946 0.00677646 0.0460725 6.05946 3.1838 0.449754
25184 0.410873 0.796472 6.25502 0.00463005 0.00891794 0.0658355 6.12939 3.16194 0.402621
32024 0.519359 1.01834 8.68536 0.00586556 0.0113508 0.0897791 6.16606 3.14473 0.368712
39632 0.643297 1.21766 11.8385 0.00726724 0.0135555 0.118161 6.16076 3.25477 0.334772
