"Domain size" "MLUP/s" "FMLUP/s" "Fluid" "Boundary total" "Boundary no-slip" "Boundary acceleration"
20 1.14896 0.915302 0.915098 0.0849022 0.06215 0.0227522
30 1.11654 0.971353 0.934563 0.0654368 0.0497676 0.0156692
40 1.0976 0.99173 0.948902 0.0510982 0.0395743 0.0115239
50 1.10002 1.01537 0.958489 0.0415113 0.0327179 0.00879343
60 1.05709 0.988367 0.966106 0.0338936 0.0266813 0.00721226
70 1.01669 0.961344 0.969488 0.0305123 0.0243164 0.00619585
80 1.03832 0.987133 0.974925 0.0250755 0.0197214 0.00535402
90 1.03242 0.987358 0.977466 0.0225338 0.017861 0.00467286
100 1.02234 0.982229 0.97963 0.0203697 0.0161314 0.00423835
110 1.02733 0.99082 0.981319 0.0186812 0.0148604 0.00382079
120 1.02696 0.993113 0.983237 0.0167626 0.0132036 0.00355905
