"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
10 2 0.021991 0.000201 0.000857 0.020911 2.2e-05 1
20 2 0.023982 0.000124 0.00105 0.022772 3.6e-05 1
30 2 0.022792 0.000176 0.000918 0.021647 5.1e-05 1
40 2 0.022923 0.000136 0.001473 0.021246 6.8e-05 1
50 2 0.023853 0.00014 0.001749 0.021874 9e-05 1
60 2 0.023571 0.000165 0.002089 0.021202 0.000115 1
70 2 0.024424 0.000173 0.002246 0.021866 0.000139 1
80 2 0.025049 0.00016 0.002584 0.022139 0.000166 1
90 2 0.024973 0.000159 0.002753 0.02186 0.000201 1
100 2 0.024742 0.000163 0.003052 0.021291 0.000236 1
110 2 0.025452 0.000171 0.003246 0.021761 0.000274 1
120 2 0.025246 0.000165 0.003547 0.021218 0.000316 1
130 2 0.026032 0.000162 0.003784 0.021728 0.000358 1
140 2 0.025873 0.000448 0.003814 0.021206 0.000405 1
150 2 0.026712 0.00017 0.004303 0.021789 0.00045 1
160 2 0.026414 0.000161 0.004566 0.021171 0.000516 1
170 2 0.027318 0.000163 0.004892 0.0217 0.000563 1
180 2 0.027154 0.000163 0.005174 0.021194 0.000623 1
190 2 0.028021 0.000169 0.005412 0.021761 0.000679 1
200 2 0.027843 0.000171 0.006082 0.020851 0.000739 1
210 2 0.028789 0.00017 0.006269 0.021548 0.000802 1
220 2 0.028453 0.000169 0.006538 0.02087 0.000876 1
230 2 0.031574 0.000167 0.006794 0.023673 0.00094 1
240 2 0.029153 0.00016 0.007095 0.020884 0.001014 1
250 2 0.029947 0.000169 0.007251 0.021441 0.001086 1
260 2 0.029805 0.000164 0.007558 0.020904 0.001179 1
270 2 0.030622 0.000154 0.007786 0.021422 0.00126 1
280 2 0.030493 0.000167 0.008108 0.020861 0.001357 1
290 2 0.031261 0.000165 0.008806 0.020845 0.001445 1
300 2 0.031117 0.000169 0.008564 0.020851 0.001533 1
310 2 0.031953 0.000161 0.009322 0.020849 0.001621 1
320 2 0.03183 0.000161 0.009092 0.020855 0.001722 1
330 2 0.032707 0.000162 0.009867 0.020854 0.001824 1
340 2 0.032575 0.000157 0.009544 0.020945 0.001929 1
350 2 0.033417 0.000164 0.010292 0.020925 0.002036 1
360 2 0.033296 0.00016 0.010094 0.020892 0.00215 1
370 2 0.034154 0.000162 0.010886 0.02085 0.002256 1
380 2 0.034104 0.000168 0.010715 0.020842 0.002379 1
390 2 0.034933 0.000165 0.011422 0.020845 0.002501 1
400 2 0.034848 0.000186 0.011178 0.020849 0.002635 1
410 2 0.035703 0.000168 0.011925 0.020844 0.002766 1
420 2 0.035637 0.00016 0.011709 0.020862 0.002906 1
430 2 0.036683 0.000625 0.012108 0.020909 0.003041 1
440 2 0.037672 0.00016 0.012744 0.020909 0.003859 1
450 2 0.036778 0.000318 0.012285 0.020843 0.003332 1
460 2 0.037782 0.000163 0.013268 0.020857 0.003494 1
470 2 0.037974 0.000341 0.013103 0.020892 0.003638 1
480 2 0.039316 0.000163 0.013868 0.020843 0.004442 1
490 2 0.038652 0.000333 0.013244 0.020844 0.004231 1
500 2 0.039279 0.000403 0.013868 0.020883 0.004125 1
510 2 0.039923 0.000154 0.014387 0.020839 0.004543 33
520 2 0.041474 0.000137 0.015265 0.020938 0.005134 33
530 2 0.040787 0.000129 0.014557 0.020845 0.005256 33
540 2 0.041316 0.000152 0.014799 0.020839 0.005526 33
550 2 0.041798 0.000151 0.015208 0.020833 0.005606 33
560 2 0.046114 0.000149 0.019278 0.02154 0.005147 33
570 2 0.044718 0.000356 0.017512 0.020836 0.006014 33
580 2 0.045198 0.000333 0.017793 0.021581 0.005491 33
590 2 0.04568 0.000343 0.018136 0.021458 0.005743 33
600 2 0.046273 0.000352 0.018406 0.021656 0.005859 33
610 2 0.046547 0.000343 0.018622 0.021473 0.006109 33
620 2 0.047093 0.000352 0.018979 0.021457 0.006305 33
630 2 0.047551 0.000356 0.019292 0.021473 0.00643 33
640 2 0.048082 0.000437 0.019545 0.021464 0.006636 33
650 2 0.04856 0.000357 0.019931 0.021429 0.006843 33
660 2 0.049016 0.000355 0.020186 0.021451 0.007024 33
670 2 0.045502 0.000142 0.01736 0.020773 0.007227 33
680 2 0.052793 0.000157 0.024258 0.020921 0.007457 33
690 2 0.053532 0.000216 0.023537 0.022056 0.007723 33
700 2 0.051797 0.000135 0.021573 0.022149 0.00794 33
710 2 0.052096 0.000138 0.021627 0.022253 0.008078 33
720 2 0.052612 0.000149 0.02191 0.022248 0.008305 33
730 2 0.053743 0.000141 0.022871 0.022156 0.008575 33
740 2 0.054696 0.000818 0.024351 0.020772 0.008755 33
750 2 0.057792 0.00022 0.026428 0.022151 0.008993 33
760 2 0.054547 0.000137 0.022955 0.022169 0.009286 33
770 2 0.055032 0.000145 0.023219 0.022233 0.009435 33
780 2 0.056315 0.000137 0.024361 0.022079 0.009738 33
790 2 0.056495 0.00014 0.025679 0.020768 0.009908 33
800 2 0.059149 0.000217 0.026592 0.022126 0.010214 33
810 2 0.058023 0.000819 0.026009 0.020772 0.010423 20
820 2 0.058903 0.000223 0.027249 0.020763 0.010668 20
830 2 0.059316 0.00022 0.02598 0.022222 0.010894 20
840 2 0.058873 0.000138 0.02527 0.022262 0.011203 20
850 2 0.059084 0.000138 0.025393 0.022136 0.011417 20
860 2 0.05963 0.000135 0.025614 0.022127 0.011754 20
870 2 0.060864 0.000139 0.028035 0.020768 0.011922 20
880 2 0.063267 0.000214 0.028651 0.02212 0.012282 20
890 2 0.058055 0.000151 0.023909 0.021453 0.012542 20
900 2 0.059281 0.000157 0.024853 0.021479 0.012792 20
910 2 0.059381 0.000162 0.024703 0.021518 0.012998 20
920 2 0.059998 0.000167 0.025046 0.021451 0.013334 20
930 2 0.060441 0.000172 0.025132 0.021527 0.01361 20
940 2 0.060871 0.00016 0.025326 0.021471 0.013914 20
950 2 0.061688 0.000165 0.025763 0.02151 0.01425 20
960 2 0.062193 0.000159 0.026096 0.021464 0.014474 20
970 2 0.062522 0.000161 0.026132 0.021511 0.014718 20
980 2 0.067676 0.000161 0.030934 0.02156 0.015021 20
990 2 0.066125 0.000136 0.028407 0.022194 0.015388 20
1000 2 0.06607 0.00014 0.029528 0.020769 0.015633 20
1010 2 0.068827 0.000222 0.030446 0.022119 0.01604 20
1020 2 0.067918 0.000137 0.03013 0.02145 0.016201 20
