"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 1 0.021883 0.000113 0.000833 0.020909 2.8e-05 1
40 1 0.022048 0.000408 0.00064 0.020949 5.1e-05 1
60 1 0.022177 0.000392 0.000816 0.020878 9.1e-05 1
80 1 0.022554 0.000386 0.001114 0.020907 0.000147 1
100 1 0.022666 0.00038 0.001229 0.020858 0.000199 1
120 1 0.023082 0.000395 0.001456 0.020963 0.000268 1
140 1 0.02326 0.000389 0.001653 0.020869 0.000349 1
160 1 0.023581 0.000398 0.001856 0.020884 0.000443 1
180 1 0.023928 0.000397 0.002118 0.020864 0.000549 1
200 1 0.02417 0.000402 0.002246 0.020866 0.000656 1
220 1 0.02455 0.000403 0.002449 0.020924 0.000774 1
240 1 0.024837 0.000402 0.002663 0.020863 0.000909 1
260 1 0.025241 0.000406 0.002874 0.020901 0.00106 1
280 1 0.025549 0.000405 0.003059 0.020871 0.001214 1
300 1 0.025985 0.000418 0.003332 0.020855 0.00138 1
320 1 0.026267 0.000408 0.003461 0.020855 0.001543 1
340 1 0.02672 0.000406 0.003707 0.020874 0.001733 1
360 1 0.027074 0.000409 0.003821 0.020907 0.001937 1
380 1 0.02744 0.000407 0.004042 0.020852 0.002139 1
400 1 0.027961 0.000414 0.004323 0.020868 0.002356 1
420 1 0.028354 0.000408 0.004459 0.020901 0.002586 1
440 1 0.028751 0.0004 0.004667 0.020858 0.002826 1
460 1 0.029211 0.000402 0.004863 0.020872 0.003074 1
480 1 0.030388 0.000404 0.005174 0.021476 0.003334 1
500 1 0.030255 0.000391 0.005331 0.020911 0.003622 1
520 1 0.030761 0.000396 0.00554 0.020927 0.003898 1
540 1 0.031213 0.000389 0.005748 0.020843 0.004233 1
560 1 0.031729 0.000405 0.005915 0.020865 0.004544 1
580 1 0.032208 0.000386 0.006137 0.020841 0.004844 1
600 1 0.032909 0.000405 0.006348 0.020992 0.005164 1
620 1 0.033439 0.000472 0.006588 0.020871 0.005508 1
640 1 0.033855 0.000385 0.006753 0.020874 0.005843 1
660 1 0.0344 0.000406 0.006915 0.020848 0.006231 1
680 1 0.034935 0.000378 0.007139 0.020846 0.006572 1
700 1 0.035603 0.0004 0.007408 0.020848 0.006947 1
720 1 0.036193 0.000378 0.00764 0.020893 0.007282 1
740 1 0.036803 0.000376 0.0079 0.020833 0.007694 1
760 1 0.037476 0.000385 0.008103 0.020844 0.008144 1
780 1 0.038055 0.000391 0.008181 0.020846 0.008637 1
800 1 0.038672 0.000376 0.008436 0.020898 0.008962 1
820 1 0.039335 7.1e-05 0.009034 0.020834 0.009396 1
840 1 0.039998 8.5e-05 0.009161 0.020846 0.009906 1
860 1 0.040704 0.000226 0.009265 0.020884 0.010329 1
880 1 0.041295 0.000378 0.009213 0.020855 0.010849 1
900 1 0.041969 0.00038 0.009379 0.020925 0.011285 1
920 1 0.042631 0.000376 0.009594 0.020845 0.011816 1
940 1 0.043449 0.000378 0.009892 0.020835 0.012344 1
960 1 0.04405 0.00037 0.009977 0.020864 0.012839 1
980 1 0.044848 0.000376 0.01023 0.020863 0.013379 32
1000 1 0.045604 0.000377 0.010455 0.02085 0.013922 32
1020 1 0.046354 0.000383 0.01062 0.020949 0.014402 32
1040 1 0.047142 0.000381 0.010905 0.020851 0.015005 32
1060 1 0.047965 0.000379 0.011162 0.020837 0.015587 32
1080 1 0.048912 0.000381 0.011295 0.020877 0.016359 32
1100 1 0.04964 0.000364 0.011553 0.020922 0.016801 32
1120 1 0.050299 0.000388 0.011681 0.020862 0.017368 32
1140 1 0.051173 0.000387 0.011945 0.020849 0.017992 32
1160 1 0.05201 0.000384 0.012161 0.020874 0.018591 32
1180 1 0.052902 0.000381 0.012426 0.020859 0.019236 32
1200 1 0.053626 0.000222 0.012605 0.020915 0.019884 32
1220 1 0.054542 0.000383 0.012713 0.020922 0.020524 32
1240 1 0.05542 0.000383 0.012977 0.020862 0.021198 32
1260 1 0.056369 0.000384 0.013196 0.020836 0.021953 32
1280 1 0.057233 0.000384 0.013441 0.020848 0.02256 32
1300 1 0.058237 0.000388 0.013671 0.020853 0.023325 32
1320 1 0.059096 0.000383 0.013752 0.020957 0.024004 32
1340 1 0.060123 0.000388 0.01412 0.020837 0.024778 32
1360 1 0.060871 0.000391 0.014146 0.020863 0.025471 32
1380 1 0.062014 0.000386 0.014354 0.020899 0.026375 32
