"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 1 0.04012 0.00021 0.018638 0.021238 3.4e-05 1
40 1 0.035958 0.000153 0.014547 0.021198 6e-05 1
60 1 0.036629 0.000146 0.015116 0.021268 9.9e-05 1
80 1 0.036567 0.000167 0.014947 0.021303 0.00015 1
100 1 0.034491 0.000185 0.012884 0.021214 0.000208 1
120 1 0.03228 0.000173 0.010613 0.021213 0.000281 1
140 1 0.033469 0.000173 0.011075 0.021855 0.000366 1
160 1 0.033153 0.000172 0.011173 0.021347 0.000461 1
180 1 0.036044 0.000162 0.014019 0.021293 0.00057 1
200 1 0.033609 0.000161 0.011533 0.021227 0.000688 1
220 1 0.034256 0.000177 0.01205 0.021212 0.000817 1
240 1 0.034512 0.000174 0.012126 0.021261 0.000951 1
260 1 0.035064 0.000175 0.012584 0.021211 0.001094 1
280 1 0.035327 0.000168 0.012688 0.021225 0.001246 1
300 1 0.035902 0.000163 0.012993 0.021336 0.00141 1
320 1 0.036249 0.000175 0.013209 0.021273 0.001592 1
340 1 0.036582 0.000163 0.013407 0.021226 0.001786 1
360 1 0.037042 0.000181 0.013654 0.021209 0.001998 1
380 1 0.037981 0.000164 0.014288 0.021266 0.002263 1
400 1 0.037983 0.000186 0.014097 0.021266 0.002434 1
420 1 0.038628 0.000162 0.01459 0.02121 0.002666 1
440 1 0.038892 0.00017 0.014618 0.021214 0.00289 1
460 1 0.041878 0.000168 0.017242 0.021213 0.003255 1
480 1 0.039767 0.000154 0.014971 0.021205 0.003437 1
500 1 0.040471 0.000163 0.015307 0.021286 0.003715 1
520 1 0.041023 0.000152 0.015665 0.021199 0.004007 1
540 1 0.041712 0.000147 0.015872 0.021354 0.004339 1
560 1 0.041955 0.000147 0.015971 0.021204 0.004633 1
580 1 0.042867 0.000155 0.016325 0.021452 0.004935 1
600 1 0.043399 0.000158 0.016696 0.021207 0.005338 1
620 1 0.044033 0.000154 0.016973 0.021267 0.005639 1
640 1 0.044526 0.000152 0.017107 0.021201 0.006066 1
660 1 0.045259 0.00016 0.017252 0.021443 0.006404 1
680 1 0.045586 0.000152 0.017512 0.021208 0.006714 1
700 1 0.04652 0.000167 0.017809 0.021404 0.00714 1
720 1 0.046943 0.000149 0.018007 0.021216 0.007571 1
740 1 0.047616 0.000153 0.018271 0.021209 0.007983 1
760 1 0.048378 0.00016 0.018594 0.021219 0.008405 1
780 1 0.049149 0.000162 0.018892 0.021256 0.008839 1
800 1 0.04987 0.000166 0.019211 0.021206 0.009287 26
820 1 0.050504 0.000158 0.019378 0.021225 0.009743 26
840 1 0.051364 0.000159 0.019759 0.021216 0.01023 26
860 1 0.052083 0.000161 0.019937 0.021201 0.010784 26
880 1 0.052825 0.000158 0.020236 0.02122 0.011211 26
900 1 0.053541 0.000165 0.020468 0.021254 0.011654 26
920 1 0.054317 0.00016 0.020634 0.021275 0.012248 26
940 1 0.055255 0.000156 0.02114 0.021222 0.012737 26
