"Number of Particles" "Step time" "Emission time" "LBM step time" "Update time"
20 0.173425 1.4e-05 0.173391 2e-05
40 0.174522 7e-06 0.174477 3.8e-05
60 0.174726 7e-06 0.17465 6.9e-05
80 0.17456 7e-06 0.174444 0.000109
100 0.174936 6e-06 0.174768 0.000162
120 0.175457 6e-06 0.175228 0.000223
140 0.174882 6e-06 0.174581 0.000295
160 0.174839 7e-06 0.174454 0.000378
180 0.175041 6e-06 0.174556 0.000479
200 0.175166 5e-06 0.174583 0.000578
220 0.175445 6e-06 0.174742 0.000697
240 0.175434 5e-06 0.174602 0.000827
260 0.175604 5e-06 0.17463 0.000969
280 0.175649 5e-06 0.174528 0.001116
300 0.175927 5e-06 0.174647 0.001275
320 0.176115 5e-06 0.174674 0.001436
340 0.176934 5e-06 0.175304 0.001625
360 0.176574 2.9e-05 0.174722 0.001823
380 0.17677 5e-06 0.174739 0.002026
400 0.176867 5e-06 0.174632 0.00223
420 0.177202 5e-06 0.174743 0.002454
440 0.177544 5e-06 0.174852 0.002687
460 0.177813 5e-06 0.174851 0.002957
480 0.177956 5e-06 0.174763 0.003188
500 0.178237 3.1e-05 0.174758 0.003448
520 0.178417 5e-06 0.174691 0.003721
540 0.177319 5e-06 0.173302 0.004012
560 0.177433 5e-06 0.173121 0.004307
580 0.177778 5e-06 0.173162 0.004611
600 0.178005 5e-06 0.17307 0.00493
620 0.178489 6e-06 0.173226 0.005257
640 0.178661 5e-06 0.173055 0.005601
660 0.179132 6e-06 0.173182 0.005944
680 0.179397 6e-06 0.173089 0.006302
700 0.17994 5e-06 0.173232 0.006703
720 0.180125 5e-06 0.173062 0.007058
740 0.180659 6e-06 0.173202 0.007451
760 0.181185 5e-06 0.173232 0.007948
780 0.185509 5e-06 0.177222 0.008282
800 0.181749 6e-06 0.173047 0.008696
820 0.182301 6e-06 0.173171 0.009124
840 0.182714 6e-06 0.173143 0.009565
860 0.18322 5e-06 0.173148 0.010067
880 0.183612 5e-06 0.173105 0.010502
900 0.184164 5e-06 0.173166 0.010993
920 0.184594 5e-06 0.173103 0.011486
940 0.18521 5e-06 0.173166 0.012039
960 0.185754 4e-06 0.173239 0.012511
980 0.186282 6e-06 0.173269 0.013007
1000 0.186841 5e-06 0.173287 0.013549
1020 0.187273 6e-06 0.173171 0.014096
1040 0.187731 6e-06 0.173057 0.014668
1060 0.189475 6e-06 0.174233 0.015236
1080 0.18933 6e-06 0.173499 0.015825
1100 0.190322 7e-06 0.17391 0.016405
1120 0.190484 5e-06 0.173478 0.017001
1140 0.191207 6e-06 0.173589 0.017612
1160 0.193151 7e-06 0.174924 0.01822
1180 0.192249 6e-06 0.173372 0.018871
1200 0.196669 6e-06 0.177156 0.019507
1220 0.193282 6e-06 0.173125 0.020151
1240 0.193888 5e-06 0.173074 0.020809
1260 0.194667 6e-06 0.173178 0.021483
1280 0.19522 5e-06 0.173052 0.022163
1300 0.196015 5e-06 0.173164 0.022846
1320 0.19662 5e-06 0.173058 0.023557
1340 0.197482 6e-06 0.173145 0.024331
1360 0.198128 5e-06 0.173074 0.025049
1380 0.198942 6e-06 0.173138 0.025798
1400 0.199779 5e-06 0.173163 0.026611
1420 0.200414 5e-06 0.173133 0.027276
1440 0.201126 5e-06 0.173079 0.028042
1460 0.201966 5e-06 0.173139 0.028822
1480 0.202613 5e-06 0.172999 0.029609
1500 0.203528 5e-06 0.17313 0.030393
1520 0.204224 5e-06 0.173006 0.031213
1540 0.205176 5e-06 0.173125 0.032046
1560 0.205951 5e-06 0.173061 0.032885
1580 0.206875 5e-06 0.17308 0.03379
1600 0.211743 5e-06 0.177155 0.034583
1620 0.208544 6e-06 0.173089 0.035449
1640 0.209359 6e-06 0.173035 0.036318
1660 0.210481 6e-06 0.173234 0.037241
1680 0.211129 4e-06 0.173011 0.038114
1700 0.212184 5e-06 0.173138 0.039041
1720 0.212962 6e-06 0.173009 0.039947
1740 0.214038 6e-06 0.17317 0.040862
1760 0.214891 5e-06 0.173056 0.04183
1780 0.216088 6e-06 0.17329 0.042792
1800 0.216812 5e-06 0.173067 0.04374
1820 0.217862 6e-06 0.173116 0.04474
1840 0.218779 5e-06 0.173048 0.045726
1860 0.219791 6e-06 0.173079 0.046706
1880 0.220771 5e-06 0.173063 0.047703
1900 0.22181 6e-06 0.173093 0.048711
1920 0.22276 6e-06 0.173025 0.049729
1940 0.22411 5e-06 0.173343 0.050762
1960 0.225034 5e-06 0.173193 0.051836
1980 0.230566 6e-06 0.177597 0.052963
2000 0.229774 6e-06 0.175811 0.053957
2020 0.230801 6e-06 0.175766 0.055029
2040 0.231831 6e-06 0.175652 0.056173
2060 0.23332 6e-06 0.176067 0.057247
2080 0.234405 5e-06 0.176028 0.058372
2100 0.235187 5e-06 0.175747 0.059435
2120 0.236215 6e-06 0.175629 0.06058
2140 0.237589 5e-06 0.175781 0.061803
2160 0.239354 6e-06 0.176466 0.062882
2180 0.239796 5e-06 0.175783 0.064008
2200 0.240872 6e-06 0.175673 0.065193
2220 0.242388 6e-06 0.175803 0.066579
2240 0.243271 7e-06 0.17568 0.067584
2260 0.24453 6e-06 0.175779 0.068745
2280 0.245591 6e-06 0.175608 0.069977
2300 0.247835 6e-06 0.175703 0.072126
2320 0.248293 5e-06 0.175839 0.072449
2340 0.249393 6e-06 0.175783 0.073604
2360 0.250559 6e-06 0.17567 0.074883
2380 0.251978 6e-06 0.175762 0.07621
2400 0.253222 6e-06 0.175741 0.077475
2420 0.254523 5e-06 0.175813 0.078705
2440 0.255627 6e-06 0.175654 0.079967
2460 0.257202 6e-06 0.175719 0.081477
2480 0.258524 5e-06 0.175867 0.082652
2500 0.259747 5e-06 0.17577 0.083972
2520 0.26089 6e-06 0.175593 0.085291
2540 0.262668 6e-06 0.175721 0.086941
2560 0.268089 5e-06 0.176841 0.091243
2580 0.265128 5e-06 0.175699 0.089424
2600 0.266414 6e-06 0.175624 0.090784
2620 0.268763 6e-06 0.176575 0.092182
2640 0.269311 6e-06 0.175687 0.093618
2660 0.270704 5e-06 0.175704 0.094995
2680 0.272063 6e-06 0.175565 0.096492
2700 0.274199 5e-06 0.176103 0.098091
2720 0.275043 6e-06 0.175662 0.099375
2740 0.276501 6e-06 0.175661 0.100834
2760 0.278102 5e-06 0.17558 0.102517
2780 0.279578 5e-06 0.175736 0.103837
2800 0.280862 6e-06 0.175602 0.105254
2820 0.282525 5e-06 0.175678 0.106842
2840 0.284016 6e-06 0.17575 0.10826
2860 0.285763 6e-06 0.175973 0.109784
2880 0.28703 5e-06 0.175716 0.111309
2900 0.289334 6e-06 0.175698 0.11363
2920 0.287696 5e-06 0.173197 0.114494
2940 0.289214 6e-06 0.173151 0.116057
2960 0.290637 5e-06 0.173049 0.117583
2980 0.292348 6e-06 0.173183 0.119159
3000 0.293814 6e-06 0.173032 0.120776
3020 0.295514 6e-06 0.173147 0.122361
3040 0.297263 5e-06 0.173212 0.124046
3060 0.298716 5e-06 0.173134 0.125577
3080 0.300328 5e-06 0.173066 0.127257
3100 0.302014 5e-06 0.173128 0.128881
3120 0.303608 6e-06 0.173045 0.130557
3140 0.305426 5e-06 0.173139 0.132282
3160 0.307102 5e-06 0.173031 0.134066
3180 0.312731 5e-06 0.177123 0.135603
3200 0.310345 6e-06 0.173037 0.137302
3220 0.313066 6e-06 0.174045 0.139015
3240 0.313781 5e-06 0.173077 0.140699
3260 0.315608 5e-06 0.173117 0.142486
3280 0.318301 5e-06 0.173199 0.145097
3300 0.319391 5e-06 0.173434 0.145952
3320 0.320727 5e-06 0.17306 0.147662
3340 0.322675 6e-06 0.17318 0.149489
3360 0.324385 5e-06 0.173069 0.151311
3380 0.326206 5e-06 0.173135 0.153066
3400 0.328146 5e-06 0.173125 0.155016
3420 0.334067 5e-06 0.17328 0.160782
3440 0.331605 5e-06 0.173033 0.158567
3460 0.333638 5e-06 0.173204 0.160429
3480 0.335371 5e-06 0.173057 0.162309
3500 0.337295 5e-06 0.173155 0.164135
3520 0.339979 5e-06 0.173101 0.166873
3540 0.341145 5e-06 0.173254 0.167886
3560 0.342807 5e-06 0.173059 0.169743
3580 0.344799 5e-06 0.173168 0.171626
3600 0.346622 5e-06 0.173031 0.173586
3620 0.348595 6e-06 0.173124 0.175465
3640 0.350557 4e-06 0.173087 0.177466
3660 0.356623 5e-06 0.1773 0.179318
3680 0.354343 5e-06 0.173062 0.181276
3700 0.356447 6e-06 0.173173 0.183268
3720 0.358332 5e-06 0.17311 0.185217
3740 0.360401 5e-06 0.17312 0.187276
3760 0.362363 5e-06 0.173054 0.189304
3780 0.364431 5e-06 0.173176 0.19125
3800 0.36724 5e-06 0.173061 0.194174
3820 0.368448 5e-06 0.173115 0.195328
3840 0.370452 4e-06 0.173072 0.197376
3860 0.372637 6e-06 0.173168 0.199463
3880 0.379016 5e-06 0.177374 0.201637
3900 0.379487 6e-06 0.175838 0.203643
3920 0.381352 1.8e-05 0.175618 0.205716
3940 0.384246 6e-06 0.176116 0.208124
3960 0.385541 1.3e-05 0.175577 0.209951
3980 0.388035 6e-06 0.175734 0.212295
4000 0.389978 1.3e-05 0.175754 0.214211
4020 0.392057 6e-06 0.175685 0.216366
4040 0.394862 1.8e-05 0.175756 0.219088
4060 0.396952 1.5e-05 0.175793 0.221144
4080 0.40097 6e-06 0.175553 0.225411
4100 0.40144 1.2e-05 0.176358 0.22507
4120 0.402867 6e-06 0.175589 0.227272
4140 0.405447 2.1e-05 0.175913 0.229513
4160 0.407238 6e-06 0.175556 0.231676
4180 0.409876 1.7e-05 0.17559 0.234269
4200 0.412026 5e-06 0.175793 0.236228
4220 0.414053 1.8e-05 0.175555 0.23848
4240 0.416466 5e-06 0.175641 0.24082
4260 0.418513 1.5e-05 0.175553 0.242945
4280 0.422831 1.8e-05 0.175486 0.247327
4300 0.42071 6e-06 0.173156 0.247548
4320 0.422978 1.7e-05 0.173099 0.249862
4340 0.425306 5e-06 0.173163 0.252138
4360 0.427706 1.5e-05 0.173141 0.25455
4380 0.430097 5e-06 0.173338 0.256754
4400 0.432265 1.5e-05 0.173067 0.259183
4420 0.434672 6e-06 0.173101 0.261565
4440 0.436899 1.3e-05 0.173028 0.263858
4460 0.442174 5e-06 0.173313 0.268856
4480 0.441673 1.2e-05 0.173052 0.268609
4500 0.444208 1.4e-05 0.173174 0.27102
4520 0.446578 6e-06 0.173067 0.273505
4540 0.450223 1.5e-05 0.17321 0.276998
4560 0.451608 6e-06 0.173112 0.27849
4580 0.454058 1.5e-05 0.173102 0.280941
4600 0.456416 5e-06 0.17304 0.283371
4620 0.458996 1.1e-05 0.173117 0.285868
4640 0.463891 5e-06 0.173157 0.290729
4660 0.463977 1.3e-05 0.17314 0.290824
4680 0.466334 5e-06 0.17303 0.293299
4700 0.468912 1.5e-05 0.173121 0.295776
4720 0.47153 1.6e-05 0.173073 0.298441
4740 0.473933 5e-06 0.173103 0.300825
4760 0.476865 1.3e-05 0.1731 0.303752
4780 0.479159 4e-06 0.173159 0.305996
4800 0.481729 1.4e-05 0.173114 0.308601
4820 0.486647 6e-06 0.175603 0.311038
4840 0.486733 1.5e-05 0.173121 0.313597
4860 0.489366 5e-06 0.173169 0.316192
4880 0.492099 1.5e-05 0.173094 0.31899
4900 0.494742 6e-06 0.173297 0.321439
4920 0.497117 5e-06 0.17305 0.324062
4940 0.499884 1.5e-05 0.173164 0.326705
4960 0.503209 6e-06 0.173068 0.330135
4980 0.507515 1.4e-05 0.175496 0.332005
5000 0.507772 5e-06 0.173112 0.334655
