"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 2 0.022023 0.000127 0.000954 0.020908 3.4e-05 1
40 2 0.022452 0.000436 0.001041 0.02091 6.5e-05 1
60 2 0.02295 0.000429 0.00144 0.02097 0.000111 1
80 2 0.023383 0.000417 0.001822 0.020948 0.000196 1
100 2 0.023788 0.000449 0.002233 0.020874 0.000232 1
120 2 0.024374 0.00046 0.002626 0.020978 0.00031 1
140 2 0.0248 0.000456 0.003059 0.020886 0.000399 1
160 2 0.025297 0.000442 0.00345 0.020907 0.000498 1
180 2 0.025828 0.000456 0.003866 0.020896 0.00061 1
200 2 0.026365 0.000444 0.004273 0.020921 0.000727 1
220 2 0.027025 0.000461 0.004679 0.021033 0.000852 1
240 2 0.027668 0.000445 0.005218 0.021008 0.000997 1
260 2 0.028096 0.000457 0.005536 0.020957 0.001146 1
280 2 0.028524 0.000449 0.005918 0.020851 0.001306 1
300 2 0.029238 0.000472 0.006414 0.02087 0.001482 1
320 2 0.029846 0.000455 0.00688 0.020851 0.00166 1
340 2 0.030387 0.000453 0.007165 0.020909 0.00186 1
360 2 0.03108 0.000469 0.007636 0.020897 0.002078 1
380 2 0.031736 0.00045 0.008083 0.020923 0.00228 1
400 2 0.032367 0.000444 0.008471 0.020859 0.002593 1
420 2 0.032991 0.000442 0.008857 0.020881 0.002811 1
440 2 0.033665 0.000454 0.009229 0.020927 0.003055 1
460 2 0.034359 0.000494 0.009658 0.020855 0.003352 1
480 2 0.034998 0.000426 0.010098 0.020915 0.003559 1
500 2 0.035816 0.000447 0.010629 0.020903 0.003837 1
520 2 0.036536 0.00044 0.011115 0.020848 0.004133 1
540 2 0.037324 0.000439 0.011544 0.02089 0.004451 1
560 2 0.038052 0.000446 0.011894 0.020917 0.004795 1
580 2 0.038751 0.00045 0.012256 0.020931 0.005114 1
600 2 0.03953 0.000272 0.012954 0.020852 0.005452 1
620 2 0.040474 0.000294 0.013428 0.020877 0.005875 1
