"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 1 0.027783 0.000209 0.006654 0.02089 3e-05 1
40 1 0.023911 0.000409 0.002196 0.021251 5.5e-05 1
60 1 0.024802 0.000395 0.002435 0.021876 9.6e-05 1
80 1 0.024408 0.000408 0.002572 0.021286 0.000142 1
100 1 0.02534 0.000397 0.002893 0.021845 0.000205 1
120 1 0.02501 0.000401 0.003108 0.021226 0.000275 1
140 1 0.029109 0.000516 0.005648 0.022576 0.000369 1
160 1 0.025747 0.000429 0.003604 0.021264 0.00045 1
180 1 0.026651 0.000433 0.003789 0.021873 0.000556 1
200 1 0.026324 0.000426 0.003975 0.021255 0.000668 1
220 1 0.027443 0.000431 0.004395 0.021817 0.0008 1
240 1 0.027187 0.000434 0.004543 0.021279 0.000931 1
260 1 0.030548 0.000428 0.007552 0.021482 0.001086 1
280 1 0.027845 0.000426 0.00495 0.021231 0.001238 1
300 1 0.029002 0.000438 0.005302 0.021849 0.001413 1
320 1 0.028782 0.000406 0.005881 0.020923 0.001572 1
340 1 0.029814 0.000424 0.006183 0.021419 0.001788 1
360 1 0.029661 0.000429 0.006379 0.020883 0.00197 1
380 1 0.033035 0.000408 0.009568 0.020889 0.00217 1
400 1 0.030881 0.000459 0.006957 0.021065 0.0024 1
420 1 0.031608 0.000395 0.00764 0.020945 0.002628 1
440 1 0.031618 0.000435 0.007378 0.020923 0.002882 1
460 1 0.032907 0.000408 0.008103 0.021267 0.003129 1
480 1 0.032819 0.000437 0.00794 0.020984 0.003458 1
500 1 0.03617 0.000422 0.011102 0.020926 0.00372 1
520 1 0.033763 0.000416 0.008525 0.02087 0.003952 1
540 1 0.036228 0.000401 0.009045 0.022536 0.004246 1
560 1 0.039241 0.000244 0.012095 0.022341 0.004561 1
580 1 0.037672 0.000218 0.010894 0.020945 0.005615 1
600 1 0.036012 0.000341 0.009435 0.020978 0.005258 1
620 1 0.039572 0.000608 0.012447 0.020941 0.005576 1
640 1 0.038 0.000724 0.010372 0.020878 0.006026 1
660 1 0.039082 0.000629 0.010593 0.020933 0.006927 1
680 1 0.038448 0.000338 0.010549 0.020901 0.00666 1
700 1 0.039964 0.000686 0.011229 0.020883 0.007166 1
720 1 0.040796 0.00019 0.011555 0.020872 0.008179 1
740 1 0.043459 0.000341 0.013611 0.020945 0.008562 1
760 1 0.041914 0.000338 0.011704 0.020871 0.009001 1
780 1 0.042663 0.000343 0.011914 0.021012 0.009394 1
800 1 0.043272 0.00035 0.012202 0.020869 0.009851 1
820 1 0.043856 0.000354 0.012335 0.020943 0.010224 1
840 1 0.044583 0.000342 0.012615 0.020872 0.010754 1
860 1 0.047512 0.000349 0.01503 0.020887 0.011246 1
880 1 0.046094 0.000352 0.013161 0.020868 0.011713 1
900 1 0.046814 0.000355 0.013336 0.02093 0.012193 30
920 1 0.049472 0.000355 0.015434 0.020977 0.012706 30
940 1 0.048457 0.000363 0.013841 0.020877 0.013376 30
960 1 0.049243 0.000348 0.01412 0.020937 0.013838 30
980 1 0.052141 0.000346 0.016537 0.020936 0.014322 30
1000 1 0.050728 0.000354 0.014628 0.020917 0.014829 30
1020 1 0.051584 0.000356 0.014848 0.020932 0.015448 30
1040 1 0.052575 0.000359 0.015154 0.020962 0.0161 30
1060 1 0.053247 0.00033 0.015421 0.020905 0.016591 30
1080 1 0.054146 0.000371 0.015655 0.020881 0.017239 30
1100 1 0.057131 0.000355 0.018007 0.021622 0.017147 30
1120 1 0.055824 0.000385 0.01609 0.02087 0.018479 30
1140 1 0.056755 0.000356 0.016392 0.021205 0.018802 30
1160 1 0.05758 0.000363 0.01666 0.021499 0.019058 30
1180 1 0.058448 0.000394 0.016758 0.020924 0.020372 30
1200 1 0.059311 0.000362 0.017109 0.021486 0.020354 30
1220 1 0.060296 0.000392 0.017371 0.021467 0.021066 30
1240 1 0.061087 0.000388 0.017552 0.021446 0.021701 30
1260 1 0.062341 0.000389 0.017886 0.020981 0.023085 30
1280 1 0.063188 0.000366 0.018136 0.021563 0.023123 30
1300 1 0.064417 0.000409 0.018425 0.021477 0.024106 30
1320 1 0.065021 0.000384 0.018625 0.021465 0.024547 30
1340 1 0.066302 0.000398 0.018919 0.021698 0.025287 30
1360 1 0.067053 0.000366 0.019211 0.02145 0.026026 30
1380 1 0.068132 0.000397 0.019448 0.021504 0.026783 30
1400 1 0.070386 0.000394 0.021732 0.02082 0.02744 30
1420 1 0.072951 0.000224 0.022843 0.021625 0.028259 18
1440 1 0.071446 0.000391 0.020259 0.021642 0.029154 18
1460 1 0.072231 0.000391 0.020478 0.021477 0.029885 18
1480 1 0.073415 0.000389 0.020742 0.021572 0.030712 18
1500 1 0.074454 0.000404 0.021056 0.021474 0.03152 18
1520 1 0.075679 0.00039 0.021327 0.021493 0.032469 18
1540 1 0.076657 0.000372 0.021624 0.021493 0.033168 18
1560 1 0.077938 0.000387 0.021769 0.021677 0.034105 18
1580 1 0.079507 0.000388 0.021988 0.021769 0.035362 18
1600 1 0.080082 0.000384 0.022375 0.021557 0.035766 18
1620 1 0.081118 0.000388 0.02252 0.021553 0.036657 18
1640 1 0.082311 0.000387 0.022887 0.021442 0.037595 18
1660 1 0.083766 0.000391 0.02304 0.02188 0.038455 18
1680 1 0.08481 0.000387 0.023496 0.021543 0.039384 18
1700 1 0.085941 0.000389 0.023661 0.021583 0.040308 18
1720 1 0.087122 0.000405 0.023983 0.021467 0.041267 18
1740 1 0.08809 0.000388 0.02403 0.021482 0.04219 18
1760 1 0.089452 0.000395 0.024447 0.021523 0.043087 18
1780 1 0.090748 0.000259 0.0248 0.021576 0.044113 18
1800 1 0.092044 0.000389 0.025051 0.021568 0.045036 13
1820 1 0.093391 0.000406 0.025118 0.021492 0.046375 13
1840 1 0.09471 0.000388 0.02541 0.021542 0.04737 13
1860 1 0.095841 0.000385 0.025549 0.021455 0.048452 13
1880 1 0.09717 0.000391 0.02597 0.021456 0.049353 13
1900 1 0.098495 0.000387 0.026208 0.021493 0.050407 13
1920 1 0.099747 0.000396 0.02642 0.021478 0.051453 13
1940 1 0.101156 0.000391 0.026688 0.021479 0.052598 13
1960 1 0.102521 0.000383 0.027007 0.021543 0.053588 13
1980 1 0.104472 0.0004 0.027245 0.021477 0.05535 13
2000 1 0.107502 0.000381 0.027385 0.023257 0.056479 13
2020 1 0.107217 0.000334 0.027953 0.021477 0.057453 13
2040 1 0.108391 0.000399 0.027896 0.021471 0.058625 13
2060 1 0.109975 0.000333 0.028392 0.021454 0.059796 13
2080 1 0.111233 0.00031 0.028551 0.021525 0.060847 13
2100 1 0.112787 0.00031 0.028825 0.021557 0.062095 10
2120 1 0.114314 0.000323 0.029148 0.02161 0.063233 10
2140 1 0.115435 0.000334 0.029236 0.021449 0.064416 10
2160 1 0.117494 0.000334 0.029602 0.021459 0.066099 10
2180 1 0.11992 0.000331 0.029808 0.021785 0.067996 10
2200 1 0.121169 0.000325 0.030196 0.021468 0.06918 10
2220 1 0.122614 0.000336 0.030281 0.021526 0.070471 10
2240 1 0.124256 0.000332 0.03075 0.021503 0.071671 10
2260 1 0.125693 0.000329 0.030895 0.021475 0.072994 10
2280 1 0.127204 0.000331 0.03113 0.021539 0.074204 10
2300 1 0.128604 0.000322 0.031293 0.021511 0.075478 10
2320 1 0.130339 0.000336 0.031584 0.021518 0.076901 10
2340 1 0.134054 0.000327 0.033617 0.020854 0.079256 10
2360 1 0.138597 0.000631 0.036368 0.020912 0.080686 9
2380 1 0.136323 0.000341 0.032325 0.021532 0.082125 9
