"Number of Particles" "Step time" "Emission time" "LBM step time" "Update time"
100 1.2985 4.2e-05 1.29823 0.000225
200 1.29515 2e-05 1.29433 0.000801
300 1.29647 1.8e-05 1.29468 0.001772
400 1.29456 1.6e-05 1.29144 0.003106
500 1.29796 1.6e-05 1.29318 0.004766
600 1.3015 1.7e-05 1.29464 0.006846
700 1.30191 1.6e-05 1.29267 0.009228
800 1.30386 1.6e-05 1.29187 0.011978
900 1.30722 1.6e-05 1.29083 0.016372
1000 1.3105 1.7e-05 1.29185 0.01863
1100 1.31476 1.7e-05 1.29227 0.022474
1200 1.31801 1.6e-05 1.29132 0.026678
1300 1.32238 1.7e-05 1.29104 0.031325
1400 1.33112 1.6e-05 1.29489 0.036218
1500 1.33238 1.6e-05 1.29091 0.041454
1600 1.33964 1.6e-05 1.29252 0.047111
1700 1.34537 1.6e-05 1.29204 0.053312
1800 1.35209 1.6e-05 1.29228 0.059785
1900 1.35835 1.6e-05 1.29188 0.066456
2000 1.36577 1.6e-05 1.29212 0.073631
2100 1.37353 1.6e-05 1.29212 0.081392
2200 1.38079 1.6e-05 1.29128 0.089497
2300 1.39094 1.7e-05 1.29319 0.097733
2400 1.39718 1.7e-05 1.29094 0.106226
2500 1.40975 1.6e-05 1.29435 0.115382
2600 1.41615 1.7e-05 1.29145 0.124684
2700 1.42684 1.6e-05 1.29247 0.134359
2800 1.43651 1.6e-05 1.29195 0.144546
2900 1.44876 1.7e-05 1.29374 0.155006
3000 1.45791 1.6e-05 1.29202 0.165875
3100 1.47097 1.6e-05 1.29398 0.176979
3200 1.48119 1.7e-05 1.29283 0.188345
3300 1.49315 1.7e-05 1.29308 0.200051
3400 1.50479 1.6e-05 1.2924 0.21237
3500 1.51923 1.6e-05 1.29361 0.225603
3600 1.53164 1.7e-05 1.29279 0.238837
3700 1.54551 1.6e-05 1.29306 0.252439
3800 1.56265 1.8e-05 1.29555 0.26708
3900 1.58304 1.8e-05 1.30258 0.280442
4000 1.5865 1.6e-05 1.29198 0.2945
4100 1.6038 1.6e-05 1.29347 0.31032
4200 1.61834 1.7e-05 1.29327 0.325054
4300 1.63395 1.7e-05 1.29268 0.341255
4400 1.65003 1.6e-05 1.29297 0.357044
4500 1.66857 1.6e-05 1.29477 0.37378
4600 1.68402 1.6e-05 1.29334 0.390658
4700 1.70063 1.6e-05 1.29274 0.407873
4800 1.71932 1.7e-05 1.29389 0.425409
4900 1.73562 1.6e-05 1.29336 0.442248
5000 1.75349 1.6e-05 1.29282 0.460658
