"Domain size" "Fluid" "Boundary total" "Boundary no-slip" "Boundary acceleration"
20 0.877818 0.122182 0.0886941 0.0334881
30 0.905511 0.0944888 0.0719068 0.022582
40 0.927256 0.0727441 0.0564186 0.0163255
50 0.939788 0.0602119 0.0475728 0.0126391
60 0.95286 0.0471404 0.0372562 0.00988414
70 0.95773 0.0422703 0.0337545 0.00851573
80 0.964336 0.0356639 0.0281029 0.00756106
90 0.96788 0.0321201 0.0255161 0.00660401
100 0.971534 0.0284659 0.0226001 0.00586587
110 0.973821 0.0261787 0.0208798 0.00529896
120 0.974909 0.025091 0.0198608 0.0052302
