"Domain size" "Fluid" "Boundary total" "Boundary no-slip" "Boundary acceleration"
20 0.915098 0.0849022 0.06215 0.0227522
30 0.934563 0.0654368 0.0497676 0.0156692
40 0.948902 0.0510982 0.0395743 0.0115239
50 0.958489 0.0415113 0.0327179 0.00879343
60 0.966106 0.0338936 0.0266813 0.00721226
70 0.969488 0.0305123 0.0243164 0.00619585
80 0.974925 0.0250755 0.0197214 0.00535402
90 0.977466 0.0225338 0.017861 0.00467286
100 0.97963 0.0203697 0.0161314 0.00423835
110 0.981319 0.0186812 0.0148604 0.00382079
120 0.983237 0.0167626 0.0132036 0.00355905
