"Number of cells" "Runtime staircase" "Runtime curved" "Runtime moving" "Share staircase" "Share curved" "Share moving" "MLUP/s staircase" "MLUP/s curved" "MLUP/s moving"
344 0.011251 0.020901 0.039194 6.7832e-05 0.000124237 0.000232661 3.05751 1.64585 0.877685
1448 0.04634 0.084129 0.21633 0.000279447 0.000480413 0.00128276 3.12473 1.72117 0.669348
3392 0.137729 0.168267 0.628681 0.00076475 0.000999609 0.00371884 2.46281 2.01584 0.539542
6104 0.197041 0.293636 1.37113 0.00118815 0.00174321 0.00807496 3.09783 2.07876 0.44518
9720 0.368627 0.459107 2.54265 0.00210548 0.00272291 0.0148716 2.63681 2.11715 0.382278
14040 0.460792 0.656463 4.23613 0.00277817 0.00388853 0.024527 3.04693 2.13873 0.331435
19224 0.629901 0.93937 6.74527 0.00379879 0.00544906 0.0356415 3.05191 2.04648 0.285
25184 0.980234 1.15726 9.58148 0.00554827 0.0068323 0.053819 2.56918 2.17617 0.26284
32024 1.05688 1.46251 13.4253 0.00637096 0.00861765 0.0738117 3.03005 2.18966 0.238535
39632 1.31083 1.80875 18.1835 0.0079015 0.0106403 0.0974507 3.02343 2.19113 0.217956
